time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.377163195595671e-07,1.1378173565315151e-07,10.00289698883247,0.0001256078392017912,0.0001482180833010105,0.0,-1.2527446643713018e-05,1.0470099599742455e-05,0.09656228139801111,0.005982436913208238,0.007002595782641745,0.0,436.0675630490732,436.6519779558324,435.00499567147887,435.50553710415375
0.12000000000000001,-5.103958567095955e-06,4.413938056124839e-06,10.010001150412412,0.0005227961551099725,0.0002845083361755485,0.0,-0.00018118596624641675,0.00016830862860117864,0.14023830134162066,0.007865043976141425,-0.009445992761150948,0.0,419.0484548940201,417.6164122071254,418.91210694786724,419.07564562093125
0.18,-1.9777788022487132e-05,2.6672187577722308e-05,10.020357094999735,0.0012066981800353815,6.283185156213697,0.0,-0.00026804820235589686,0.0006303337588944559,0.20494985883393912,0.017664675650098563,0.0033045782158631284,0.0,425.23441818240315,426.32515216398417,424.97098801291986,425.8098856633822
0.23999999999999996,-3.6866604419404435e-05,9.370623781402155e-05,10.035425688941187,0.002731394282875499,0.0004513936383920836,0.0,-0.0003354765257475067,0.0017378127343068018,0.29731620627306254,0.03759397330521561,0.014856267993085398,0.0,433.71558724065716,434.684439076051,434.02138418868606,435.69064999119234
0.3,-6.883781827933172e-05,0.0002571052975070545,10.054407162200148,0.004837439307941338,0.0016086392953420514,0.0,-0.0008264488198597351,0.003911750886235144,0.33538803424239977,0.02958034401256081,0.02693358605121104,0.0,415.3789688263428,416.43655935862665,418.2242567031085,417.5264259827916
0.36000000000000004,-0.00015873763633956204,0.0006005066677380389,10.07792898410554,0.006460029337131523,0.0027655610094639016,0.0,-0.0023225785382150494,0.007711953429374349,0.4486331207194082,0.02141385473804862,-0.003987570716491182,0.0,442.3584715512898,439.8052590519017,441.6989228629364,441.025205950324
0.4200000000000001,-0.0003612483678489723,0.001218774333245636,10.110421698504133,0.007660746646532601,0.0024306060243999283,0.0,-0.004394855016012367,0.013039124598292517,0.6343713152861393,0.017049680229630836,-0.008980501314899775,0.0,463.6247133957824,463.23241284942503,463.8447614387743,463.5019139084366
0.48000000000000015,-0.0006818977688295068,0.0021932845947560246,10.155306170926078,0.00830699913853472,0.0017169433871222495,0.0,-0.006218353470112271,0.01954978615425014,0.8616333336375519,-0.006349731060612804,-0.01847294708656195,0.0,477.12985155189784,476.4048249029049,476.17105166153056,474.37780784503764
0.5400000000000001,-0.0010914774668266275,0.0035657256008308903,10.2135311299319,0.008145615697695341,0.0004829411608051615,0.0,-0.007294658451316162,0.02616538099658327,1.0790192091478752,0.003776292855349189,-0.0251222744178391,0.0,473.60009977080665,473.0884989401736,473.18633663344986,473.96516682411385
0.6000000000000002,-0.0015343004775837076,0.00534122186769003,10.285736005589289,0.008210879945567129,6.28217900027046,0.0,-0.007280303753440068,0.03303458120424059,1.3275548037854141,-0.004920085680426338,-0.02422464310895215,0.0,482.92603498257023,482.9936880503933,483.17415047377733,482.51814083025346
0.6600000000000003,-0.001941432338066246,0.007515376007962893,10.371292363650047,0.007812221286108922,6.281020172339634,0.0,-0.006140885442262996,0.03939514995813272,1.5240827627517803,-0.010337457119365784,-0.010959244743786158,0.0,468.50919262649035,469.5393868353604,467.6949896866104,467.27301369303774
0.7200000000000003,-0.002267427001521441,0.010023380797222864,10.46383503169388,0.0068550832846634435,6.2807720709772425,0.0,-0.004686227497153162,0.04413469528044382,1.5606239288894135,-0.030603843104021485,0.006866083851173192,0.0,418.3086957932307,419.8580106569352,419.0560613003622,417.29083838881735
0.7800000000000004,-0.00250150722007776,0.012802546123783325,10.559928422616261,0.005118121537452502,6.280973004764149,0.0,-0.0031482693951402005,0.04832609921001528,1.6423762456688211,-0.025830785907100914,-0.00482498028742865,0.0,433.86748309459324,432.8848397516645,433.4085351564829,433.80920946019245
0.8400000000000004,-0.002629897083161584,0.01583333694734083,10.667825805033527,0.0030061734130466533,6.280129606258409,0.0,-0.001077885648442746,0.05247627341078673,1.953725984729541,-0.07071997732621216,-0.04818626095619838,0.0,503.3703043788939,500.2228187698572,503.8288488254252,500.57231870803764
0.9000000000000005,-0.002626977690656352,0.01902450188442341,10.786555754132271,6.281488772303427,6.278144311205411,0.0,0.0013958860516887735,0.053479849653035844,2.003852520841643,-0.10165954923102603,-0.013135632666204823,0.0,422.4593208145131,425.46990756725364,426.5016888647071,423.845367565998
0.9600000000000005,-0.002406604497620253,0.022160766997307055,10.915586259027123,6.2765576575007245,6.277765410345868,0.0,0.006019810583917075,0.0503639692995048,2.2966218455835197,-0.0586623875132518,0.00468129995987584,0.0,498.15204358300724,499.45319576852313,495.56404570351594,498.70881467927467
1.0200000000000005,-0.0019009019172407974,0.02498589630989461,11.062722465183349,6.2730083433586366,6.278339177883359,0.0,0.010774641605337004,0.04334114740799995,2.607261209985894,-0.06015917775465548,0.017875283068026857,0.0,503.2203644705476,504.1743700786647,504.40084855692237,504.2907486798301
1.0800000000000005,-0.0011228656812983008,0.027279469276653204,11.22978490963911,6.26899148935432,6.279095737423006,0.0,0.015024367824311676,0.03259652750847432,2.960637433494504,-0.08614094778357985,-0.0008420964229612074,0.0,518.6865226665587,517.370277722311,516.8299721587244,514.9926377194807
1.1400000000000006,-0.0001392083306175297,0.028931144888192355,11.409834522488067,6.264029742553371,6.279136037310682,0.0,0.017763699643130584,0.02196138339417355,3.0407992392947727,-0.07657253100019834,0.0035394509853140547,0.0,438.7792446988126,439.14283405875506,438.67130338129624,439.4594463815792
